date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:20:45	70/70	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Apr%202019%2019:47:33%20GMT	https://crypton.trading/robots.txt		(from )
02:20:45	21055/21055	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2019:47:33%20GMT	https://crypton.trading/	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/index.html	(from )
02:20:46	9662/9662	---M--	200	added ('OK')	image/x-icon	etag:%225ab393ef-25be%22	https://crypton.trading/crypton/favicon.ico	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/favicon.ico	(from https://crypton.trading/)
02:20:47	599/599	---M--	200	added ('OK')	image/png	etag:%225ab39e69-257%22	https://crypton.trading/crypton/favicon.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/favicon.png	(from https://crypton.trading/)
02:20:47	1303/1303	---M--	200	added ('OK')	image/png	etag:%225ab393ef-517%22	https://crypton.trading/crypton/apple-touch-icon.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon.png	(from https://crypton.trading/)
02:20:48	312/312	---M--	200	added ('OK')	image/png	etag:%225ab393ef-138%22	https://crypton.trading/crypton/apple-touch-icon-57x57.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-57x57.png	(from https://crypton.trading/)
02:20:48	317/317	---M--	200	added ('OK')	image/png	etag:%225ab393ef-13d%22	https://crypton.trading/crypton/apple-touch-icon-60x60.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-60x60.png	(from https://crypton.trading/)
02:20:49	397/397	---M--	200	added ('OK')	image/png	etag:%225ab393ef-18d%22	https://crypton.trading/crypton/apple-touch-icon-72x72.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-72x72.png	(from https://crypton.trading/)
02:20:49	448/448	---M--	200	added ('OK')	image/png	etag:%225ab393ef-1c0%22	https://crypton.trading/crypton/apple-touch-icon-76x76.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-76x76.png	(from https://crypton.trading/)
02:20:49	720/720	---M--	200	added ('OK')	image/png	etag:%225ab393ef-2d0%22	https://crypton.trading/crypton/apple-touch-icon-114x114.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-114x114.png	(from https://crypton.trading/)
02:20:50	759/759	---M--	200	added ('OK')	image/png	etag:%225ab393ef-2f7%22	https://crypton.trading/crypton/apple-touch-icon-120x120.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-120x120.png	(from https://crypton.trading/)
02:20:50	999/999	---M--	200	added ('OK')	image/png	etag:%225ab393ef-3e7%22	https://crypton.trading/crypton/apple-touch-icon-144x144.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-144x144.png	(from https://crypton.trading/)
02:20:51	1070/1070	---M--	200	added ('OK')	image/png	etag:%225ab393ef-42e%22	https://crypton.trading/crypton/apple-touch-icon-152x152.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-152x152.png	(from https://crypton.trading/)
02:20:51	1303/1303	---M--	200	added ('OK')	image/png	etag:%225ab393ef-517%22	https://crypton.trading/crypton/apple-touch-icon-180x180.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/apple-touch-icon-180x180.png	(from https://crypton.trading/)
02:20:52	229/229	---M--	200	added ('OK')	image/png	etag:%225ab393ef-e5%22	https://crypton.trading/crypton/android-chrome-36x36.png	C:/Users/Lenovo/Desktop/trial/crypton/crypton.trading/crypton/android-chrome-36x36.png	(from https://crypton.trading/)
